element_id,cluster
c4af1d0,Externe Krisen und Schocks
6061ee2,Ungleichheit und Steuerpolitik
a0d067d,Außenpolitik und EU-Integration
a23f816,Sozialer Zusammenhalt und Wertewandel
f43c93b,Sonstige
2b8e9c1,Externe Krisen und Schocks
b0b1014,Sonstige
b33f682,Wettbewerbsfähigkeit und Innovation
53ef547,Medienwahrnehmung und Narrativ
0a15ad6,Wettbewerbsfähigkeit und Innovation
e4ea64f,Führungskrise und Blockaden
5750645,Bürokratie und Verwaltungshemmnisse
16d66cb,Infrastruktur und Digitalisierung
0b4155b,Infrastruktur und Digitalisierung
080919e,Bürokratie und Verwaltungshemmnisse
8e851aa,Medienwahrnehmung und Narrativ
ec3259a,Sozialer Zusammenhalt und Wertewandel
45a54a5,Bürokratie und Verwaltungshemmnisse
3da7166,Wettbewerbsfähigkeit und Innovation
b82234a,Führungskrise und Blockaden
