cluster_id,topic,topic_summary,umap_x,umap_y,anzahl_teilnehmer,frauenanteil,durchschnittsalter,durchschnittseinkommen,wahlabsicht_verteilung
1,Bewertung der aktuellen Lage in Deutschland,"Die Probanden in diesem Cluster bewerten die Lage Deutschlands überwiegend als schwierig und von wirtschaftlicher Anspannung, politischer Blockade und gesellschaftlicher Spaltung geprägt. Sie nennen den Rechtsruck und die sinkende Stimmung als zentrale Probleme – manche finden die Situation „schrottig“ oder „beunruhigend“ – sehen aber Teilaspekte wie die Energie­wende, medizinische Versorgung und demokratische Grundsätze positiv. Viele fordern entschlossene politische Impulse, klare Pläne und mehr Toleranz, um den Abwärtstrend zu stoppen. Insgesamt spiegeln die Aussagen eine kritische Grundhaltung wider, die Deutschlands Stärken würdigt, aber vor weiterem Rückfall warnt.",7.028446,11.401281,10,0.56,45.44444444444444,3472.222222222222,"{'SPD': 0.44, 'Grüne': 0.44, 'Die Linke': 0.11}"
0,Bewertung der aktuellen Lage in Deutschland,"Die Probanden in diesem Cluster beschreiben Deutschland als in einer tiefen Krise steckend und beurteilen die Situation insgesamt überwiegend negativ. Sie kritisieren besonders die Wirtschaftsentwicklung („Die Wirtschaft wächst nicht“, „Stellenabbau in der Automobilindustrie“) und die öffentliche Sicherheit („Die Kriminalität nimmt zu“), sehen politische Ideologien wie die der Grünen als Ursache („fast alle Probleme hat ihre Ideologie ausgelöst“) und nennen internationale Faktoren wie den Ukraine-Krieg und Konkurrenz aus China. Einzelne Teilnehmer loben zwar eine stabile politische Kultur („politische Kultur ... solider als in anderen Ländern“), doch überwiegt der Pessimismus. Insgesamt vermittelt dieses Cluster ein Bild von großer Besorgnis und skeptischer Einschätzung von Gegenwart und Zukunft Deutschlands.",7.364611,11.749177,3,0.0,40.333333333333336,3000.0,"{'AfD': 0.33, 'FDP': 0.33, 'CDU': 0.33}"
2,Bewertung der aktuellen Lage in Deutschland,"Die Probanden in diesem Cluster sehen die deutsche Politik und Verwaltung als durch ""dysfunktionale Kommunikation"", überregulierte Handlungsräume und kurzfristige Haushaltszyklen gelähmt. Sie beklagen den ""Negativitätsfokus der Medien"", der die ohnehin kritische Stimmung in der Bevölkerung verstärkt, und den Vertrauensverlust der Bürger in politische Akteure. Trotz dieser Skepsis erkennen sie positive Ansätze wie ""Energiewende macht Fortschritte"" und schlagen pragmatische Maßnahmen vor, etwa ""den Pflegern mehr bezahlen"", um Mängel in zentralen Bereichen zu beheben. Insgesamt prägt hier eine pessimistische Gegenwartsdiagnose eine vorsichtige Zuversicht, dass Reformbereitschaft und gezielte Eingriffe langfristig zu einer Verbesserung führen können.",6.4168553,11.198395,4,0.5,37.0,2500.0,"{'SPD': 0.5, 'Grüne': 0.25, 'CDU': 0.25}"
1,Gründe für eine mögliche Krise Deutschlands,"Die Probanden in diesem Cluster sehen die gegenwärtigen Herausforderungen Deutschlands als Zusammenspiel externer Faktoren (Covid-Pandemie, Inflation, Ukraine-Krieg) und hausgemachter politischer Versäumnisse. Sie kritisieren fehlende Langfriststrategien, übermäßige Bürokratie und starre Fiskalregeln und fordern stattdessen „Bürokratieabbau und Innovationsförderung“ sowie eine „Debattenkultur, die Schulden für Zukunftsinvestitionen anders bewertet“. Viele betonen die Bedeutung von mehr Einigkeit und konstruktivem Austausch in der Demokratie („konstruktiver Austausch zwischen demokratischen Parteien“) und warnen vor Populismus und kurzfristigen Wahlversprechen. Insgesamt wünschen sie sich eine handlungsfähige, langfristig orientierte Politik mit klaren Plänen, um Deutschlands Stärke dauerhaft zu sichern.",7.028446,11.401281,10,0.56,45.44444444444444,3472.222222222222,"{'SPD': 0.44, 'Grüne': 0.44, 'Die Linke': 0.11}"
0,Gründe für eine mögliche Krise Deutschlands,"Die Probanden in diesem Cluster sehen Deutschlands Lage als hausgemacht an und fordern grundlegende politische Veränderungen, darunter eine komplett neue Regierung, stärkere Bürgernähe und Vernunft sowie Wirtschaftsentlastungen durch niedrigere Steuern und weniger Bürokratie. Sie kritisieren die Corona-Politik als „völlig verfehlt“ und wünschen sich „einen völlig anderen Ansatz“ im Krisenmanagement. Auch eine Modernisierung der Verwaltung mittels digitaler Prozesse statt Fax und Post steht im Mittelpunkt: „Dokumente per App hochladen und beantragen“. Insgesamt zeichnet sich ein tiefes Misstrauen gegenüber der aktuellen Politik ab und die Erwartung, dass ohne Reformen wirtschaftlicher Abstieg und Verteilungskämpfe folgen werden.",7.364611,11.749177,3,0.0,40.333333333333336,3000.0,"{'AfD': 0.33, 'FDP': 0.33, 'CDU': 0.33}"
2,Gründe für eine mögliche Krise Deutschlands,"Die Probanden in diesem Cluster betrachten die Krisen in Deutschland als „hausgemachte Probleme“, die erst durch politische Entscheidungen zu gravierenden Schwierigkeiten werden. Sie kritisieren konservative Politik und zu viel Parteipolitik und fordern stattdessen, „Mehr in Innovation und Zukunft zu investieren“ durch ein gesamtdeutsches Investitionspaket und klare politische Positionierung. Maßnahmen zur Attraktivitätssteigerung im Pflegebereich beschränken sie auf höhere Gehälter und setzen allgemein auf effiziente „Politikkommunikation und Politiker ohne Machtstreben“. Insgesamt vertrauen sie darauf, dass entschlossenes politisches Handeln und kontinuierlicher Fortschritt – „es herrscht kein Stillstand“ – die aktuellen Herausforderungen meistern können.",6.4168553,11.198395,4,0.5,37.0,2500.0,"{'SPD': 0.5, 'Grüne': 0.25, 'CDU': 0.25}"
1,Lösungen für die Probleme,"Die Probanden in diesem Cluster befürworten eine gezielte Umverteilung des Vermögens, insbesondere superreicher Erben, durch höhere Erbschafts- und Vermögenssteuern („Das finde ich richtig“, „gesetzliche Verpflichtungen, Vermögen offenzulegen“). Sie lehnen konservative oder traditionalistische Modelle ebenso wie das Abschaffen von Klimaschutzregelungen als kurzsichtig oder rückschrittlich ab („Das lehne ich klar ab“, „So ein Blödsinn“). Stattdessen betonen sie die Bedeutung internationaler Zusammenarbeit, progressiver Klimapolitik und sozialer Gerechtigkeit, fordern, dass „Leistung sich lohnen muss, aber auch ein Lohn, von dem man leben kann“, und kritisieren populistische Sozialkürzungen. Insgesamt plädieren sie für eine langfristige, fortschrittliche Politik, die soziale Stabilität, Umweltziele und europäische Vernetzung in den Vordergrund stellt.",7.028446,11.401281,10,0.56,45.44444444444444,3472.222222222222,"{'SPD': 0.44, 'Grüne': 0.44, 'Die Linke': 0.11}"
0,Lösungen für die Probleme,"Die Probanden in diesem Cluster lehnen großflächige, ideologische Politikansätze wie Umverteilung, konservative Werte als Allheilmittel oder nationale Abschottung ab und plädieren stattdessen für pragmatische Maßnahmen. Sie setzen auf digitale Modernisierung, etwa im Gesundheitswesen, um Prozesse zu verschlanken und Datenmanagement zu verbessern („Man hat mehr Ärzte in einem App auszuwählen“), und fordern die Abschaffung veralteter Vorschriften („Alte oder unrealistische Regeln abschaffen“). Klimaschutzregelungen sollen einer strengen Kosten-Nutzen-Analyse unterzogen werden („Ich würde sie einer Kosten Nutzen Bilanz unterziehen“) und nur beibehalten werden, wenn sie Effizienz und Innovation fördern, während pauschale Steuer- oder Sozialleistungskürzungen nur in Einzelfällen als sinnvoll erachtet werden. Insgesamt zeichnet sich dieses Cluster durch eine konsequente, auf Effizienz und Ergebnisorientierung ausgerichtete Haltung aus, die auf gezielte Entlastung der Mittelschicht und klare Anreizstrukturen setzt.",7.364611,11.749177,3,0.0,40.333333333333336,3000.0,"{'AfD': 0.33, 'FDP': 0.33, 'CDU': 0.33}"
2,Lösungen für die Probleme,"Die Probanden in diesem Cluster befürworten gezielte Umverteilung zugunsten ärmerer Schichten – etwa über Erbschaftssteuer, Deckelung von Managergehältern und Fokussierung auf Spitzenverdiener –, sofern die Maßnahmen „transparent und rigoros umgesetzt“ werden. Gleichzeitig warnen sie vor negativen Effekten auf den Wirtschaftsstandort und lehnen Kürzungen im Sozialstaat ab, weil „den Armen noch was wegzunehmen“ unethisch sei. Konservative Werte und permanente Klimadebatten in Form von Hin und Her werden kritisiert; stattdessen fordern sie verlässliche Regeln, Expertenentscheidungen und dass politische Maßnahmen für die Bürger „spürbar“ werden. Insgesamt sind sie überzeugt, dass nur durch klare Kommunikation und breite politische Koalitionen das Vertrauen der Bevölkerung gewonnen und Deutschland nachhaltig vorangebracht werden kann.",6.4168553,11.198395,4,0.5,37.0,2500.0,"{'SPD': 0.5, 'Grüne': 0.25, 'CDU': 0.25}"
1,Allgemeines Weltbild,"Die Probanden in diesem Cluster sehen das Sprichwort „Jeder ist seines eigenen Glückes Schmied“ als überwiegend privilegiert und verweisen auf Erbschaften, hohe Lebenshaltungskosten und strukturelle Ungleichheiten. Sie fordern daher staatliche Maßnahmen wie mehr Investitionen in Bildung („Mehr Investition in Bildung wäre ein wichtiger Startpunkt“) und betonen Solidarität und Gemeinschaftssinn („dass die Menschen weniger egoistisch werden“). Zugleich befürworten sie gendergerechte Sprache („Gender-gerechte Sprache ist für mich normal“) und fordern konsequenten Klimaschutz mit konkreten Maßnahmen wie ÖPNV-Ausbau und Bürokratieabbau für erneuerbare Energien. Insgesamt zeichnen die Probanden ein kollektives, progressives Weltbild, das strukturelle Barrieren anerkennt und politisches Handeln zur Förderung von Gerechtigkeit und Nachhaltigkeit fordert.",-6.3083534,6.7220955,10,0.56,45.44444444444444,3472.222222222222,"{'SPD': 0.44, 'Grüne': 0.44, 'Die Linke': 0.11}"
0,Allgemeines Weltbild,"Die Probanden in diesem Cluster fordern eine pragmatische Nutzenorientierung in der Politik, insbesondere in der ""Klimawandel- und Migrationspolitik"", und vertreten ""kein Interesse an Kriegen in der Ukraine oder Taiwan"". Sie blicken optimistisch in die Zukunft, beschreiben sich als ""positive Menschen"", ""ehrgeizig"" und stets lernbereit, ohne jedoch ihre persönlichen Ziele preiszugeben. Traditionelle Leitsprüche wie ""Jeder ist seines eigenen Glückes Schmied"" sehen sie nicht mehr als absoluten Maßstab, weil die Gesellschaft sich ""tendentiell etwas zu weit davon wegbewegt"" hat. Insgesamt zeichnen sie ein Bild realistisch-pragmatischer Individuen, die Fortschritt und persönliches Wachstum verbinden.",-7.201444,6.364383,3,0.0,40.333333333333336,3000.0,"{'AfD': 0.33, 'FDP': 0.33, 'CDU': 0.33}"
2,Allgemeines Weltbild,"Die Probanden in diesem Cluster empfinden ihre finanzielle Lage als stabil wie vor der Pandemie und blicken aufgrund des demografischen Wandels optimistisch in die Zukunft. Sie halten den Leitspruch ""Jeder ist seines eigenen Glückes Schmied"" nur unter gleichen Startbedingungen für gültig (""Stimmt nur, wenn jeder gleichen Zugang zu Hammer, Amboss und Metall hat"") und bewerten gendergerechte Sprache als wenig wirkungsvoll (""Kann man machen, wird nicht sehr viel bringen""), während sie das Überwinden von Klassizismus für wichtiger erachten. Rechtliche Erleichterungen wie die Geschlechtsänderung im Ausweis befürworten sie, sofern sie ""missbrauchssicher"" ist, Migration sehen sie hingegen als Risiko für Sicherheit und Ghettoisierung und fordern Einreisekontrollen sowie staatliche Wohnungsverteilung. Insgesamt zeichnet dieses Cluster ein pragmatisch-sachorientiertes Bild, das Stabilität, Chancengleichheit und Sicherheit in den Mittelpunkt stellt.",-6.5091424,7.3493056,4,0.5,37.0,2500.0,"{'SPD': 0.5, 'Grüne': 0.25, 'CDU': 0.25}"
1,Informationsquellen,"Die Probanden in diesem Cluster kategorisieren Medien streng nach Seriosität und wählen ihre Informationsquellen dementsprechend. Ob offizielle Dokumente, Parteiwebsites wie „spd.de“ oder Nachrichtensendungen wie die Tagesschau („Na den Ingo halt!“) – geprüfte Formate werden offenen Chatgruppen und Social Media („nein, keine Interesse“) vorgezogen. Auch die öffentlich-rechtlichen Sender werden meist als „journalistisch wertvoll und professionell“ eingeschätzt. Insgesamt zeigt sich ein starkes Bedürfnis nach Kontrolle und Verlässlichkeit im politischen Informationsverhalten.",17.301859,2.8323097,10,0.56,45.44444444444444,3472.222222222222,"{'SPD': 0.44, 'Grüne': 0.44, 'Die Linke': 0.11}"
0,Informationsquellen,"Die Probanden in diesem Cluster nutzen sowohl traditionelle Zeitungen wie NZZ, Spiegel und Welt als auch digitale Kanäle wie Facebook, Telegram-Chatgruppen, YouTube und Instagram, um sich politisch zu informieren. Sie suchen gezielt nach Meinungen, die in den Mehrheitsmedien fehlen („Meinungen, die man in den Mehrheitsmedien nicht abgebildet sieht“) und vergleichen unterschiedliche Quellen („ich werde verschiedene Quellen durchsuchen und die Information vergleichen“), ohne feste Kriterien für deren Glaubwürdigkeit anzulegen. Öffentlich-rechtliche Sender wie ARD und ZDF lehnen sie teilweise als Propaganda ab („Ich lehne dieses Staatsfernsehen ab und halte es für Propaganda“) und ergänzen ihren Blick durch persönliche Gespräche, um ein möglichst vielfältiges Gesamtbild zu erhalten.",17.55319,1.5001051,3,0.0,40.333333333333336,3000.0,"{'AfD': 0.33, 'FDP': 0.33, 'CDU': 0.33}"
2,Informationsquellen,"Die Probanden in diesem Cluster beziehen ihre politischen Informationen hauptsächlich über etablierte Online- und Broadcast-Medien wie SZ, Tagesschau, Spiegel, Financial Times oder ARD und ZDF („Ist vielfältig und ganzheitlich“). Zusätzlich nutzen sie digitale Formate wie YouTube und Podcasts und greifen auch auf Social Media zurück („Social Media, Radio online, online Fernsehen, online Medien“), beteiligen sich jedoch nicht an politischen Chatgruppen („nein“). Entscheidend sind ihnen dabei „Fundierung und Objektivität“ in der Berichterstattung. Insgesamt steht das Vertrauen in professionellen Journalismus im Vordergrund, während spontane Social-Media-Diskussionen eine untergeordnete Rolle spielen.",17.707096,2.5015998,4,0.5,37.0,2500.0,"{'SPD': 0.5, 'Grüne': 0.25, 'CDU': 0.25}"
